name,url,category,city
Posh Pets,https://poshpetsstore.myshopify.com,pet_ecommerce,
CreativeSignet,https://creativesignet.com,pet_ecommerce,
Petpal Accessories,https://petpalaccessories.com,pet_ecommerce,
Woof M-E-O-W,https://woofm-e-o-wco.myshopify.com,pet_ecommerce,
